timestamp,model,dataset,notes,Return_MAE,Return_MSE,Return_RMSE,num_drifts_detected,total_retrain_time,average_retrain_time,model_switches,trial_verdicts,trials_promoted,trials_held,final_model,num_retrains,detect_true_positives,detect_false_positives,detect_false_negatives,detect_precision,detect_recall,detect_f1_score,detect_avg_detection_delay,total_time
2026-03-02 19:57:01,PSO_LSTM_kswin,linear_gradual_drift_13,,0.0277401831282915,0.0013303319682915,0.0364737161294472,14,111.41297793388368,7.958069852420261,4,"['held', 'held', 'promoted', 'promoted', 'held', 'held', 'held', 'promoted', 'held', 'promoted', 'held', 'held', 'held', 'held']",4,10,v0,14,3,11,0,0.2142857142857142,1.0,0.3529411764705882,-62.0,136.43145370483398
2026-03-02 19:58:17,PSO_ELM_kswin,linear_gradual_drift_13,,0.0240478341351433,0.0010155845463182,0.0318682372640565,12,73.83491659164429,6.152909715970357,6,"['held', 'promoted', 'promoted', 'promoted', 'promoted', 'held', 'held', 'promoted', 'promoted', 'held', 'held', 'held']",6,6,v0,12,3,9,0,0.25,1.0,0.4,7.0,75.5687153339386
2026-03-02 19:58:42,LSTM_kswin,linear_gradual_drift_13,,0.0268168386913211,0.0011702842735048,0.0342094179065483,14,2.394765615463257,0.171054686818804,9,"['promoted', 'promoted', 'held', 'held', 'promoted', 'promoted', 'held', 'held', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted']",9,4,v13,14,3,11,0,0.2142857142857142,1.0,0.3529411764705882,35.666666666666664,24.902283191680908
2026-03-02 19:58:43,ELM_kswin,linear_gradual_drift_13,,0.0463776454985261,0.0084806849872087,0.0920906346335432,16,0.0099833011627197,0.0006239563226699,11,"['promoted', 'promoted', 'held', 'held', 'promoted', 'promoted', 'promoted', 'held', 'held', 'promoted', 'held', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted']",11,5,v16,16,3,13,0,0.1875,1.0,0.3157894736842105,-60.66666666666666,1.23941969871521
2026-03-02 20:07:06,PSO_LSTM_kswin,linear_gradual_drift_14,,0.0254162211596779,0.001016386886573,0.0318808231790369,14,100.19209933280943,7.156578523772104,2,"['held', 'held', 'held', 'held', 'held', 'held', 'held', 'held', 'held', 'held', 'held', 'held', 'promoted', 'promoted']",2,12,v0,14,1,13,2,0.0714285714285714,0.3333333333333333,0.1176470588235294,-200.0,127.82509350776672
2026-03-02 20:07:50,PSO_ELM_kswin,linear_gradual_drift_14,,0.0449663460666073,0.0062799263664263,0.0792459864373353,17,43.24011850357056,2.5435363825629738,12,"['held', 'promoted', 'promoted', 'held', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'held', 'promoted', 'held', 'held', 'promoted', 'promoted', 'promoted']",12,5,v17,17,3,14,0,0.1764705882352941,1.0,0.3,94.33333333333331,44.199230909347534
2026-03-02 20:08:11,LSTM_kswin,linear_gradual_drift_14,,0.0261744785590859,0.0010959555855798,0.0331052199143858,12,1.936671018600464,0.1613892515500386,9,"['held', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'held', 'promoted', 'held']",9,3,v11,12,3,9,0,0.25,1.0,0.4,46.0,21.06706047058105
2026-03-02 20:08:12,ELM_kswin,linear_gradual_drift_14,,0.0664016581197214,0.0329376583687187,0.1814873504372103,14,0.0068645477294921,0.0004903248378208,13,"['promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'held', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted']",13,1,v14,14,3,11,0,0.2142857142857142,1.0,0.3529411764705882,-9.666666666666666,1.56455397605896
2026-03-02 20:19:50,PSO_LSTM_kswin,linear_gradual_drift_15,,0.0260194235342987,0.0010785937003015,0.0328419503120857,14,277.91801381111145,19.85128670079368,2,"['held', 'held', 'held', 'held', 'promoted', 'promoted', 'held', 'held', 'held', 'held', 'held', 'held', 'held', 'held']",2,12,v0,14,2,12,1,0.1428571428571428,0.6666666666666666,0.2352941176470588,104.0,304.3238263130188
2026-03-02 20:21:21,PSO_ELM_kswin,linear_gradual_drift_15,,0.033573109211311,0.0024675159453561,0.0496740973280451,12,88.55201554298401,7.379334628582001,11,"['held', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted']",11,1,v12,12,3,9,0,0.25,1.0,0.4,25.666666666666668,90.69675970077516
2026-03-02 20:21:44,LSTM_kswin,linear_gradual_drift_15,,0.0276657956831744,0.0012152462722637,0.0348603825604909,15,2.656291961669922,0.1770861307779948,13,"['promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'held', 'promoted', 'promoted', 'promoted', 'held', 'promoted', 'promoted', 'promoted']",13,2,v15,15,2,13,1,0.1333333333333333,0.6666666666666666,0.2222222222222222,184.5,23.392699241638184
2026-03-02 20:21:45,ELM_kswin,linear_gradual_drift_15,,0.0371565424350492,0.0033229528397067,0.0576450591092314,16,0.007444143295288,0.0004652589559555,11,"['promoted', 'promoted', 'promoted', 'held', 'promoted', 'promoted', 'promoted', 'promoted', 'held', 'promoted', 'held', 'promoted', 'held', 'promoted', 'promoted', 'held']",11,5,v15,16,3,13,0,0.1875,1.0,0.3157894736842105,45.0,1.294461727142334
2026-03-02 20:31:07,PSO_LSTM_kswin,linear_gradual_drift_16,,0.023214576024384,0.0008497267739291,0.029150073309155,15,148.20270204544067,9.880180136362712,8,"['held', 'promoted', 'promoted', 'held', 'promoted', 'promoted', 'held', 'held', 'held', 'held', 'held', 'promoted', 'promoted', 'promoted', 'promoted']",8,7,v0,15,3,12,0,0.2,1.0,0.3333333333333333,-83.0,174.70240831375122
2026-03-02 20:33:04,PSO_ELM_kswin,linear_gradual_drift_16,,0.0313501771554808,0.0025542599617171,0.0505396869966284,13,114.7058494091034,8.823526877623339,9,"['held', 'promoted', 'held', 'promoted', 'promoted', 'promoted', 'held', 'promoted', 'promoted', 'promoted', 'held', 'promoted', 'promoted']",9,4,v0,13,1,12,2,0.0769230769230769,0.3333333333333333,0.125,-214.0,116.36032056808472
